Id,Start,Name,Impact,Currency
9e018868-08e9-4b29-aa19-bdeda74da26a,02/02/2021 10:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
fe82a10e-0313-48b0-9692-3706ab1cc5f2,02/02/2021 13:55:00,Redbook Index (YoY),LOW,USD
1d499db4-3e3e-4cb5-ba71-36b56bad410e,02/02/2021 13:55:00,Redbook Index (MoM),LOW,USD
aa6e2bd8-e6dd-4a69-b07b-44d758bf4cce,02/02/2021 14:45:00,ISM-NY Business Conditions Index,LOW,USD
9e5cb767-702c-4c27-86ba-83918ff49d48,02/02/2021 15:00:00,IBD/TIPP Economic Optimism (MoM),LOW,USD
2337e3c2-c7d9-436c-bbf0-3391edf7f86d,02/02/2021 15:00:00,GDT Price Index,LOW,NZD
c33b092b-7a98-40c4-a279-726b2bbf118b,02/02/2021 18:00:00,Fed's Williams speech,MEDIUM,USD
0725bd69-19b1-4206-9c52-1f49791eea94,02/02/2021 20:30:00,Total Vehicle Sales,LOW,USD
f98adb48-c587-433e-8daa-22162b40c302,02/02/2021 21:30:00,API Weekly Crude Oil Stock,LOW,USD
4a508588-4aa0-4585-840a-569bd73c7d05,02/02/2021 21:30:00,AiG Performance of Construction Index,MEDIUM,AUD
c60f25bd-140a-46e6-a9d9-f9426f7f6cd5,02/02/2021 21:45:00,Participation Rate,MEDIUM,NZD
fcca2279-3abd-4a18-8abc-eb5001d87a09,02/02/2021 21:45:00,Labour Cost Index (QoQ),MEDIUM,NZD
1ddb17c7-f526-4c37-b5b9-6f3dbdfd36a4,02/02/2021 21:45:00,Labour Cost Index (YoY),LOW,NZD
c0def1a1-1885-40ae-a644-ff8d4a1652dd,02/02/2021 21:45:00,Employment Change,HIGH,NZD
d1ba03ff-03a5-496e-91cf-b5ffa3ff42b8,02/02/2021 21:45:00,Unemployment Rate,HIGH,NZD
f6eb0e1d-49b9-4171-9cbe-bbed9637c74e,02/02/2021 22:00:00,Commonwealth Bank Services PMI,MEDIUM,AUD
74dff2d3-da8e-4bb5-b0e6-b8e749479996,02/02/2021 22:00:00,Commonwealth Bank Composite PMI,LOW,AUD
34b2d41f-e8d3-4439-b1e6-656dc7e428c4,02/03/2021 00:00:00,ANZ Commodity Price,LOW,NZD
e685dcb9-f5cf-4c7b-b8cc-003e9e9b299e,02/03/2021 00:30:00,Jibun Bank Services PMI,LOW,JPY
2e896e9d-c338-4056-af28-9669025ff953,02/03/2021 00:30:00,Building Permits (YoY),LOW,AUD
f00b8208-43e0-4d76-99ed-5e45f282bc15,02/03/2021 00:30:00,Building Permits (MoM),MEDIUM,AUD
d49e008e-c622-43de-b962-72485915bf49,02/03/2021 01:30:00,BoJ's Wakatabe speech,LOW,JPY
90b23ec7-09a7-44fc-8c61-3086fb6740e1,02/03/2021 01:30:00,RBA's Governor Lowe speech,HIGH,AUD
a3e89671-9985-47b1-88c6-ecd15ceadd42,02/03/2021 01:45:00,Caixin Services PMI,MEDIUM,CNY
eadf2101-2485-4208-a930-ee40b67406f6,02/03/2021 07:45:00,Budget,LOW,EUR
2042a57d-3619-4681-a043-2a64f404ed89,02/03/2021 08:00:00,Non-Monetary Policy ECB Meeting,LOW,EUR
2fa61f26-aa2f-47e4-9d49-83bcd5f3e4ea,02/03/2021 08:15:00,Markit Services PMI,MEDIUM,EUR
e7f9b2e9-503e-43b0-a63b-d7d4e27b7848,02/03/2021 08:45:00,Markit Services PMI,MEDIUM,EUR
5bf7ecd3-91ff-4ba6-9151-8b8c73dcfbf5,02/03/2021 08:50:00,Markit Services PMI,LOW,EUR
50b9c624-096a-4e2a-b0ba-b2e41ce18452,02/03/2021 08:50:00,Markit PMI Composite,LOW,EUR
d3f866e1-2f9f-4734-94fd-9abbb6668888,02/03/2021 08:55:00,Markit Services PMI,LOW,EUR
f4492c8f-4530-47cf-babc-c2f854e771b8,02/03/2021 08:55:00,Markit PMI Composite,MEDIUM,EUR
23d9a123-0300-4a24-a3bb-62d0461f3ba7,02/03/2021 09:00:00,Markit Services PMI,LOW,EUR
2aa48993-749c-4494-a6db-7980ae320493,02/03/2021 09:00:00,Markit PMI Composite,MEDIUM,EUR
0482e181-8404-475c-9b18-40c4eb2b35d7,02/03/2021 09:30:00,Markit Services PMI,LOW,GBP
493085e6-2e0b-456e-9328-7a19e4306800,02/03/2021 10:00:00,OPEC Meeting,MEDIUM,USD
96e78f9e-55ee-4766-8f28-37c2a20958c9,02/03/2021 10:00:00,Consumer Price Index (YoY),LOW,EUR
1da66d6d-5efb-4697-8ce2-d560c61b252b,02/03/2021 10:00:00,Consumer Price Index (EU Norm) (MoM),LOW,EUR
2ea7b594-bc6d-4379-9260-5784a2a62536,02/03/2021 10:00:00,Consumer Price Index (MoM),LOW,EUR
21439daa-d028-4f89-859a-60c2d2ece2db,02/03/2021 10:00:00,Consumer Price Index (EU Norm) (YoY),LOW,EUR
7e02994f-e9f6-4b63-8ceb-5fc7e1493626,02/03/2021 10:00:00,Consumer Price Index - Core (YoY),HIGH,EUR
a8d3e967-2531-46df-9a24-72e31808310d,02/03/2021 10:00:00,Producer Price Index (YoY),LOW,EUR
d597faac-108c-4ea7-89e8-1315022fcc03,02/03/2021 10:00:00,Consumer Price Index (YoY),HIGH,EUR
755d284c-2c08-4ff9-8da2-278ecc1d7ff8,02/03/2021 10:00:00,Producer Price Index (MoM),LOW,EUR
6a9d466a-7f64-49e6-a0cf-d13ce0cb8121,02/03/2021 10:30:00,10-y Bond Auction,LOW,GBP
d8b2524a-2e29-48de-b18c-f421e692949f,02/03/2021 12:00:00,MBA Mortgage Applications,LOW,USD
e1e6d32d-c6c0-4611-9a44-e20ab57a8718,02/03/2021 13:15:00,ADP Employment Change,HIGH,USD
1f7665b3-2544-4304-909b-0c677ef5a7c8,02/03/2021 14:45:00,Markit Services PMI,MEDIUM,USD
a8fa8a15-52d5-42a6-b714-128d52d862ac,02/03/2021 14:45:00,Markit PMI Composite,MEDIUM,USD
929d1f3e-4ebc-4799-8dd2-e3f1e549abc8,02/03/2021 15:00:00,ISM Services New Orders Index,MEDIUM,USD
11624e6f-cc12-4d39-bdaf-bbbb82cd994d,02/03/2021 15:00:00,ISM Services PMI,HIGH,USD
125de4af-1759-4259-92af-718c18a709dc,02/03/2021 15:00:00,ISM Services Employment Index,MEDIUM,USD
f09d7677-ede2-46f5-b31d-74c59de93b59,02/03/2021 15:00:00,ISM Services Prices Paid,MEDIUM,USD
424f8c28-77a2-4514-a462-8ef9cbaa3a71,02/03/2021 15:30:00,EIA Crude Oil Stocks Change,LOW,USD
2fcd0d84-b64f-40c6-ad91-93eaad088a99,02/03/2021 21:45:00,Building Permits s.a. (MoM),MEDIUM,NZD
9003f017-f636-42b5-8727-f7def7a0072c,02/03/2021 23:50:10,Foreign Investment in Japan Stocks,LOW,JPY
9d5b7cc1-7393-4c84-92a8-73639e026344,02/03/2021 23:50:10,Foreign Bond Investment,LOW,JPY
8119ca50-71a3-413d-adca-50b447ff9e4b,02/04/2021 00:00:00,ANZ Business Confidence,LOW,NZD
de90e315-7314-451c-90b1-f8796b5f6471,02/04/2021 00:00:00,ANZ Activity Outlook,LOW,NZD
5f0b10c5-ea76-48f4-96d5-053aae7cc9fa,02/04/2021 00:30:00,Imports (MoM),MEDIUM,AUD
e7bbeab0-767f-4c09-9fd2-d4f9e96140b5,02/04/2021 00:30:00,Exports (MoM),MEDIUM,AUD
6b5efd0a-4a94-4474-a1ab-dfb8551addb9,02/04/2021 00:30:00,Trade Balance (MoM),HIGH,AUD
7e956563-8be9-44ca-b6d2-1206dc27ec20,02/04/2021 06:45:00,SECO Consumer Climate (3m),LOW,CHF
591c60dc-7000-4f3c-9360-4bcd695ab66e,02/04/2021 07:45:00,Individual Investment (Current Year),LOW,EUR
64e9a538-19f3-41ed-824f-acb0c89350d8,02/04/2021 09:30:00,Markit Construction PMI,LOW,GBP
e8623d88-f9cd-4390-8c15-24b07f018ccb,02/04/2021 09:40:00,10-y Obligaciones Auction,LOW,EUR
51318ea4-c65d-40de-b6b5-6f0ed764c9a2,02/04/2021 09:40:00,3-y Bond Auction,LOW,EUR
ffbfe522-c428-4497-b369-0c3e521d067d,02/04/2021 09:40:00,5-y Bond Auction,LOW,EUR
e8b744da-a02f-427e-bccc-7f347670d54d,02/04/2021 09:50:00,10-y Bond Auction,LOW,EUR
c667c77e-629d-434d-a5b5-6c9ae50fa53c,02/04/2021 10:00:00,Retail Sales (YoY),HIGH,EUR
1027fe00-cf47-42f6-8184-9621bc211fcd,02/04/2021 10:00:00,Retail Sales (MoM),MEDIUM,EUR
b773f5b4-fef3-40ab-af43-b7e8ae5044fd,02/04/2021 12:00:00,Bank of England Monetary Policy Report,HIGH,GBP
bafd696f-e41d-47e7-8648-f66448871e40,02/04/2021 12:00:00,BoE MPC Vote Unchanged,HIGH,GBP
90c27c61-1495-4369-bfd6-9ea9241b03ee,02/04/2021 12:00:00,BoE Asset Purchase Facility,HIGH,GBP
b76975bc-4200-4b0c-87bd-6a663ac310b3,02/04/2021 12:00:00,Monetary Policy Summary,HIGH,GBP
b7c34c6f-6e7a-40df-8ee4-a80a3698d131,02/04/2021 12:00:00,BoE MPC Vote Cut,HIGH,GBP
223be0a6-ad0e-4126-9995-0df6c773e1f9,02/04/2021 12:00:00,Bank of England Minutes,HIGH,GBP
6479d63f-78c4-4aa8-b534-667bc2aed027,02/04/2021 12:00:00,BoE MPC Vote Hike,HIGH,GBP
e702048b-2f28-4a49-8580-b59036cefd71,02/04/2021 12:00:00,BoE Interest Rate Decision,HIGH,GBP
d65731cb-b5ac-48a1-a534-41ea6e116c96,02/04/2021 12:30:00,Challenger Job Cuts,LOW,USD
eae972ac-152d-40cc-b45b-e13d878440aa,02/04/2021 12:30:00,BoE's Governor Bailey speech,HIGH,GBP
8825769c-464e-4069-b9a9-16012056ef1a,02/04/2021 13:30:00,Continuing Jobless Claims,MEDIUM,USD
82c7d95b-d7c9-4f90-8c44-d02fd898246b,02/04/2021 13:30:00,Nonfarm Productivity,MEDIUM,USD
4bc5682c-132b-48ea-bfd1-bcceac782ebc,02/04/2021 13:30:00,Initial Jobless Claims,MEDIUM,USD
927185af-b46a-425b-82a9-b45647860650,02/04/2021 13:30:00,Unit Labor Costs,MEDIUM,USD
e0740960-bdb9-4236-8843-f69213eb407d,02/04/2021 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
b3278262-9650-4b01-b502-fca71f6be1e7,02/04/2021 15:00:00,Factory Orders (MoM),MEDIUM,USD
cf5b0a47-d79f-4630-aba0-72778b70b968,02/04/2021 15:30:00,EIA Natural Gas Storage Change,LOW,USD
552a52b7-3078-46c9-ad26-f55b73c7c24b,02/04/2021 16:30:00,4-Week Bill Auction,LOW,USD
22711e0c-fd78-4d02-b311-b630a3ceb38e,02/04/2021 21:30:00,AiG Performance of Services Index,LOW,AUD
b20dcc65-e865-4410-b4a6-5b6a503bf3dd,02/04/2021 22:30:00,RBA's Governor Lowe speech,HIGH,AUD
