Title,Country,Date,Time,Impact,Forecast,Previous
Unemployment Claims,USD,02-04-2021,1:30pm,Medium,828K,847K
Prelim Nonfarm Productivity q/q,USD,02-04-2021,1:30pm,Low,-2.9%,4.9%
Prelim Unit Labor Costs q/q,USD,02-04-2021,1:30pm,Low,4.1%,-8.9%
BOE Gov Bailey Speaks,GBP,02-04-2021,1:30pm,High,,
Factory Orders m/m,USD,02-04-2021,3:00pm,Low,0.7%,1.0%
Natural Gas Storage,USD,02-04-2021,3:30pm,Low,,-128B
FOMC Member Daly Speaks,USD,02-04-2021,7:00pm,Low,,
AIG Services Index,AUD,02-04-2021,9:30pm,Low,,52.9
RBA Gov Lowe Speaks,AUD,02-04-2021,10:30pm,High,,
Household Spending y/y,JPY,02-04-2021,11:30pm,Low,-1.9%,1.1%
RBA Monetary Policy Statement,AUD,02-05-2021,12:30am,Medium,,
Retail Sales m/m,AUD,02-05-2021,12:30am,Low,-4.2%,-4.2%
Leading Indicators,JPY,02-05-2021,5:00am,Low,95.1%,96.6%
German Factory Orders m/m,EUR,02-05-2021,7:00am,Low,-1.2%,2.3%
French Trade Balance,EUR,02-05-2021,7:45am,Low,-4.2B,-3.6B
French Prelim Private Payrolls q/q,EUR,02-05-2021,7:45am,Low,-0.7%,1.8%
Foreign Currency Reserves,CHF,02-05-2021,8:00am,Low,,891B
Halifax HPI m/m,GBP,02-05-2021,8:30am,Low,,0.2%
Italian Retail Sales m/m,EUR,02-05-2021,9:00am,Low,1.5%,-6.9%
Non-Farm Employment Change,USD,02-05-2021,1:30pm,High,55K,-140K
Unemployment Rate,USD,02-05-2021,1:30pm,High,6.7%,6.7%
Average Hourly Earnings m/m,USD,02-05-2021,1:30pm,High,0.3%,0.8%
Trade Balance,USD,02-05-2021,1:30pm,Low,-66.0B,-68.1B
Employment Change,CAD,02-05-2021,1:30pm,High,-46.5K,-62.6K
Unemployment Rate,CAD,02-05-2021,1:30pm,High,8.9%,8.6%
Trade Balance,CAD,02-05-2021,1:30pm,Low,-3.0B,-3.3B
BOE Gov Bailey Speaks,GBP,02-05-2021,1:30pm,High,,
Ivey PMI,CAD,02-05-2021,3:00pm,Medium,,46.7
Consumer Credit m/m,USD,02-05-2021,8:00pm,Low,12.1B,15.3B
