Pair,Batch,Indicator,MT,Confidence,Result,correct conf,incorrect conf
USDCAD,Result3,STO64,BUV,0.98,0,0,1
USDCHF,Result3,STO64,BUN,0.89,1,0,0
USDJPY,Result3,STO64,BEV,0.39,0,0,0
AUDCAD,Result3,ATR32,BUN,0.84,0,0,0
AUDCHF,Result3,ATR32,BUN,0.85,0,0,0
AUDJPY,Result3,ATR32,BUN,0.84,0,0,0
AUDNZD,Result3,ATR32,BUN,0.84,0,0,0
AUDUSD,Result3,ATR32,BUN,0.84,0,0,0
CADCHF,Result3,ATR32,BUN,0.85,1,0,0
CADJPY,Result3,ATR32,BUN,0.85,0,0,0
CHFJPY,Result3,ATR32,BUN,0.82,0,0,0
EURAUD,Result3,ATR32,BUN,0.70,0,0,0
EURCAD,Result3,ATR32,BUN,0.80,0,0,0
EURCHF,Result3,ATR32,BUN,0.84,0,0,0
EURGBP,Result3,ATR32,BUN,0.79,1,0,0
EURJPY,Result3,ATR32,BUN,0.81,0,0,0
EURNZD,Result3,ATR32,BUN,0.59,0,0,0
EURUSD,Result3,ATR32,BUN,0.82,0,0,0
GBPAUD,Result3,ATR32,BUV,0.51,0,0,0
GBPCAD,Result3,ATR32,BUV,0.51,0,0,0
GBPCHF,Result3,ATR32,BUN,0.48,0,0,0
GBPJPY,Result3,ATR32,BUV,0.45,0,0,0
GBPNZD,Result3,ATR32,BUV,0.59,0,0,0
GBPUSD,Result3,ATR32,BUV,0.37,0,0,0
NZDCAD,Result3,ATR32,BUN,0.85,0,0,0
NZDCHF,Result3,ATR32,BUN,0.85,0,0,0
NZDJPY,Result3,ATR32,BUN,0.85,0,0,0
NZDUSD,Result3,ATR32,BUN,0.85,0,0,0
USDCAD,Result3,ATR32,BUN,0.84,0,0,0
USDCHF,Result3,ATR32,BUN,0.84,1,0,0
USDJPY,Result3,ATR32,BUN,0.83,1,0,0
AUDCAD,Result3,ATR64,BUN,0.94,0,0,0
AUDCHF,Result3,ATR64,BUN,0.93,0,0,0
AUDJPY,Result3,ATR64,BUN,0.96,0,0,0
AUDNZD,Result3,ATR64,BUN,0.96,0,0,0
AUDUSD,Result3,ATR64,BUN,0.95,0,0,0
CADCHF,Result3,ATR64,BUN,0.90,1,0,0
CADJPY,Result3,ATR64,BUN,0.94,0,0,0
CHFJPY,Result3,ATR64,BUN,0.95,0,0,0
EURAUD,Result3,ATR64,BUN,0.97,0,0,1
EURCAD,Result3,ATR64,BUN,0.92,0,0,0
EURCHF,Result3,ATR64,BUN,0.89,0,0,0
EURGBP,Result3,ATR64,BUN,0.86,1,0,0
EURJPY,Result3,ATR64,BUN,0.96,0,0,1
EURNZD,Result3,ATR64,BUN,0.97,0,0,1
EURUSD,Result3,ATR64,BUN,0.89,0,0,0
GBPAUD,Result3,ATR64,BUN,0.94,0,0,0
GBPCAD,Result3,ATR64,BUN,0.88,0,0,0
GBPCHF,Result3,ATR64,BUN,0.88,0,0,0
GBPJPY,Result3,ATR64,BUN,0.94,0,0,0
GBPNZD,Result3,ATR64,BUN,0.92,0,0,0
GBPUSD,Result3,ATR64,BUN,0.87,0,0,0
NZDCAD,Result3,ATR64,BUN,0.94,0,0,0
NZDCHF,Result3,ATR64,BUN,0.92,0,0,0
NZDJPY,Result3,ATR64,BUN,0.95,0,0,0
NZDUSD,Result3,ATR64,BUN,0.93,0,0,0
USDCAD,Result3,ATR64,BUN,0.95,0,0,0
USDCHF,Result3,ATR64,BUN,0.88,1,0,0
USDJPY,Result3,ATR64,BUN,0.93,1,0,0
